2017-11-23 15:15:10.843 [21756] LOG_ALARM -----------------  log4z thread started!   ---------------------------- log4z.cpp:1924
2017-11-23 15:15:10.848 [21756] LOG_ALARM logger id=0 key=Main name=Main path=./log/ level=0 display=true log4z.cpp:1934
2017-11-23 15:15:10.848 [20836] LOG_TRACE stream input *** LOGT LOGT LOGT LOGT ***  cctdlg.cpp:80
2017-11-23 15:15:10.848 [20836] LOG_DEBUG stream input *** LOGD LOGD LOGD LOGD ***  cctdlg.cpp:81
2017-11-23 15:15:10.848 [20836] LOG_INFO stream input *** LOGI LOGI LOGI LOGI ***  cctdlg.cpp:82
2017-11-23 15:15:10.848 [20836] LOG_WARN stream input *** LOGW LOGW LOGW LOGW ***  cctdlg.cpp:83
2017-11-23 15:15:10.848 [20836] LOG_ERROR stream input *** LOGE LOGE LOGE LOGE ***  cctdlg.cpp:84
2017-11-23 15:15:10.848 [20836] LOG_ALARM stream input *** LOGA LOGA LOGA LOGA ***  cctdlg.cpp:85
2017-11-23 15:15:10.848 [20836] LOG_FATAL stream input *** LOGF LOGF LOGF LOGF ***  cctdlg.cpp:86
2017-11-23 15:15:10.848 [20836] LOG_TRACE format input *** LOGFMTT *** 123456 *** cctdlg.cpp:87
2017-11-23 15:15:10.848 [20836] LOG_DEBUG format input *** LOGFMTD *** 123456 *** cctdlg.cpp:88
2017-11-23 15:15:10.848 [20836] LOG_INFO format input *** LOGFMTI *** 123456 *** cctdlg.cpp:89
2017-11-23 15:15:10.848 [20836] LOG_WARN format input *** LOGFMTW *** 123456 *** cctdlg.cpp:90
2017-11-23 15:15:10.848 [20836] LOG_ERROR format input *** LOGFMTE *** 123456 *** cctdlg.cpp:91
2017-11-23 15:15:10.848 [20836] LOG_ALARM format input *** LOGFMTA *** 123456 *** cctdlg.cpp:92
2017-11-23 15:15:10.848 [20836] LOG_FATAL format input *** LOGFMTF *** 123456 *** cctdlg.cpp:93
2017-11-23 15:15:10.848 [20836] LOG_ALARM main quit ... cctdlg.cpp:95
2017-11-23 15:15:11.009 [20836] LOG_TRACE CCCTDlg::udp_client_init cctdlg.cpp:611
2017-11-23 15:15:11.009 [6184] LOG_TRACE call_dev_mon_thread 
 devmon.cpp:6
2017-11-23 15:15:11.009 [6184] LOG_TRACE CDevMon::dev_mon_thread start
 devmon.cpp:29
2017-11-23 15:15:11.154 [20836] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1177
2017-11-23 15:15:12.983 [20836] LOG_TRACE CCCTDlg::stopRecord cctdlg.cpp:583
2017-11-23 15:15:12.986 [20836] LOG_INFO wav in close err:5 cctdlg.cpp:593
2017-11-23 15:15:18.105 [20836] LOG_TRACE spk1 1 cctdlg.cpp:654
2017-11-23 15:15:18.105 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=1, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::OnBnClickedCheckAll 1 cctdlg.cpp:886
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=1, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=2, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=3, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=4, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=5, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=6, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=7, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=8, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=9, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=10, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=11, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=12, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=13, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=14, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=15, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=16, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=17, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=18, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=19, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=20, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=21, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=22, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=23, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=24, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=25, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=26, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=27, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=28, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=29, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=30, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=31, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=32, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=33, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=34, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=35, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=36, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=37, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=38, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=39, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=40, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=41, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=42, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=43, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=44, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=45, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=46, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=47, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=48, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=49, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=50, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=51, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=52, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=53, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=54, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=55, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=56, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=57, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=58, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=59, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=60, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=61, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=62, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=63, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=64, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=65, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=66, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=67, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=68, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=69, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=70, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=71, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=72, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=73, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=74, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=75, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=76, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=77, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=78, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=79, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=80, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=81, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=82, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=83, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=84, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=85, onoff=1 cctdlg.cpp:640
2017-11-23 15:15:20.823 [20836] LOG_TRACE CCCTDlg::set_speaker, spk=86, onoff=1 cctdlg.cpp:640
