2017-12-15 13:58:19.650 [14404] LOG_ALARM -----------------  log4z thread started!   ---------------------------- log4z.cpp:1924
2017-12-15 13:58:19.653 [14404] LOG_ALARM logger id=0 key=Main name=Main path=./log/ level=0 display=true log4z.cpp:1934
2017-12-15 13:58:19.656 [10284] LOG_TRACE stream input *** LOGT LOGT LOGT LOGT ***  cctdlg.cpp:80
2017-12-15 13:58:19.656 [10284] LOG_DEBUG stream input *** LOGD LOGD LOGD LOGD ***  cctdlg.cpp:81
2017-12-15 13:58:19.656 [10284] LOG_INFO stream input *** LOGI LOGI LOGI LOGI ***  cctdlg.cpp:82
2017-12-15 13:58:19.656 [10284] LOG_WARN stream input *** LOGW LOGW LOGW LOGW ***  cctdlg.cpp:83
2017-12-15 13:58:19.656 [10284] LOG_ERROR stream input *** LOGE LOGE LOGE LOGE ***  cctdlg.cpp:84
2017-12-15 13:58:19.656 [10284] LOG_ALARM stream input *** LOGA LOGA LOGA LOGA ***  cctdlg.cpp:85
2017-12-15 13:58:19.656 [10284] LOG_FATAL stream input *** LOGF LOGF LOGF LOGF ***  cctdlg.cpp:86
2017-12-15 13:58:19.656 [10284] LOG_TRACE format input *** LOGFMTT *** 123456 *** cctdlg.cpp:87
2017-12-15 13:58:19.656 [10284] LOG_DEBUG format input *** LOGFMTD *** 123456 *** cctdlg.cpp:88
2017-12-15 13:58:19.656 [10284] LOG_INFO format input *** LOGFMTI *** 123456 *** cctdlg.cpp:89
2017-12-15 13:58:19.656 [10284] LOG_WARN format input *** LOGFMTW *** 123456 *** cctdlg.cpp:90
2017-12-15 13:58:19.656 [10284] LOG_ERROR format input *** LOGFMTE *** 123456 *** cctdlg.cpp:91
2017-12-15 13:58:19.656 [10284] LOG_ALARM format input *** LOGFMTA *** 123456 *** cctdlg.cpp:92
2017-12-15 13:58:19.656 [10284] LOG_FATAL format input *** LOGFMTF *** 123456 *** cctdlg.cpp:93
2017-12-15 13:58:19.657 [10284] LOG_ALARM main quit ... cctdlg.cpp:95
2017-12-15 13:58:22.868 [10284] LOG_TRACE CCCTDlg::udp_client_init cctdlg.cpp:611
2017-12-15 13:58:22.869 [12416] LOG_TRACE call_dev_mon_thread 
 devmon.cpp:6
2017-12-15 13:58:22.869 [12416] LOG_TRACE CDevMon::dev_mon_thread start
 devmon.cpp:29
2017-12-15 13:58:22.870 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:22.870 [12416] LOG_TRACE DEV[1] online devmon.cpp:64
2017-12-15 13:58:25.391 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:58:27.460 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:58:27.871 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:32.872 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:33.935 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:58:35.639 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:58:37.873 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:41.979 [10284] LOG_TRACE CCCTDlg::stopRecord cctdlg.cpp:583
2017-12-15 13:58:42.044 [10284] LOG_INFO wav in close err:5 cctdlg.cpp:593
2017-12-15 13:58:42.875 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:43.127 [10284] LOG_TRACE spk1 1 cctdlg.cpp:654
2017-12-15 13:58:43.127 [10284] LOG_TRACE CCCTDlg::set_speaker, spk=1, onoff=1 cctdlg.cpp:640
2017-12-15 13:58:47.878 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:52.881 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:58:57.885 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:02.887 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:07.890 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:12.893 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:17.898 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:22.900 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:27.903 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:32.906 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:37.909 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:42.912 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:47.820 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:59:47.843 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:59:47.915 [12416] LOG_TRACE rcv[23]:{DEV_ID:1},{LOST:0.00%} devmon.cpp:53
2017-12-15 13:59:48.451 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:59:48.662 [10284] LOG_TRACE m_s32_volume=50 cctdlg.cpp:1180
2017-12-15 13:59:48.686 [10284] LOG_TRACE m_s32_volume=51 cctdlg.cpp:1180
2017-12-15 13:59:48.785 [10284] LOG_TRACE m_s32_volume=52 cctdlg.cpp:1180
2017-12-15 13:59:48.804 [10284] LOG_TRACE m_s32_volume=53 cctdlg.cpp:1180
2017-12-15 13:59:48.829 [10284] LOG_TRACE m_s32_volume=54 cctdlg.cpp:1180
2017-12-15 13:59:48.841 [10284] LOG_TRACE m_s32_volume=55 cctdlg.cpp:1180
2017-12-15 13:59:48.858 [10284] LOG_TRACE m_s32_volume=56 cctdlg.cpp:1180
2017-12-15 13:59:48.877 [10284] LOG_TRACE m_s32_volume=57 cctdlg.cpp:1180
2017-12-15 13:59:48.890 [10284] LOG_TRACE m_s32_volume=59 cctdlg.cpp:1180
2017-12-15 13:59:48.954 [10284] LOG_TRACE m_s32_volume=60 cctdlg.cpp:1180
2017-12-15 13:59:48.971 [10284] LOG_TRACE m_s32_volume=61 cctdlg.cpp:1180
2017-12-15 13:59:48.994 [10284] LOG_TRACE m_s32_volume=62 cctdlg.cpp:1180
2017-12-15 13:59:49.022 [10284] LOG_TRACE m_s32_volume=63 cctdlg.cpp:1180
2017-12-15 13:59:49.041 [10284] LOG_TRACE m_s32_volume=65 cctdlg.cpp:1180
2017-12-15 13:59:49.056 [10284] LOG_TRACE m_s32_volume=66 cctdlg.cpp:1180
2017-12-15 13:59:49.072 [10284] LOG_TRACE m_s32_volume=67 cctdlg.cpp:1180
2017-12-15 13:59:49.078 [10284] LOG_TRACE m_s32_volume=68 cctdlg.cpp:1180
2017-12-15 13:59:49.097 [10284] LOG_TRACE m_s32_volume=69 cctdlg.cpp:1180
2017-12-15 13:59:49.104 [10284] LOG_TRACE m_s32_volume=70 cctdlg.cpp:1180
2017-12-15 13:59:49.112 [10284] LOG_TRACE m_s32_volume=71 cctdlg.cpp:1180
2017-12-15 13:59:49.129 [10284] LOG_TRACE m_s32_volume=72 cctdlg.cpp:1180
2017-12-15 13:59:49.136 [10284] LOG_TRACE m_s32_volume=74 cctdlg.cpp:1180
2017-12-15 13:59:49.152 [10284] LOG_TRACE m_s32_volume=75 cctdlg.cpp:1180
2017-12-15 13:59:49.160 [10284] LOG_TRACE m_s32_volume=76 cctdlg.cpp:1180
2017-12-15 13:59:49.168 [10284] LOG_TRACE m_s32_volume=77 cctdlg.cpp:1180
2017-12-15 13:59:49.180 [10284] LOG_TRACE m_s32_volume=78 cctdlg.cpp:1180
2017-12-15 13:59:49.204 [10284] LOG_TRACE m_s32_volume=80 cctdlg.cpp:1180
2017-12-15 13:59:49.222 [10284] LOG_TRACE m_s32_volume=81 cctdlg.cpp:1180
2017-12-15 13:59:49.234 [10284] LOG_TRACE m_s32_volume=82 cctdlg.cpp:1180
2017-12-15 13:59:49.259 [10284] LOG_TRACE m_s32_volume=83 cctdlg.cpp:1180
2017-12-15 13:59:49.267 [10284] LOG_TRACE m_s32_volume=84 cctdlg.cpp:1180
2017-12-15 13:59:49.283 [10284] LOG_TRACE m_s32_volume=85 cctdlg.cpp:1180
2017-12-15 13:59:49.299 [10284] LOG_TRACE m_s32_volume=86 cctdlg.cpp:1180
2017-12-15 13:59:49.316 [10284] LOG_TRACE m_s32_volume=87 cctdlg.cpp:1180
2017-12-15 13:59:49.332 [10284] LOG_TRACE m_s32_volume=88 cctdlg.cpp:1180
2017-12-15 13:59:49.340 [10284] LOG_TRACE m_s32_volume=89 cctdlg.cpp:1180
2017-12-15 13:59:49.356 [10284] LOG_TRACE m_s32_volume=90 cctdlg.cpp:1180
2017-12-15 13:59:49.373 [10284] LOG_TRACE m_s32_volume=91 cctdlg.cpp:1180
2017-12-15 13:59:49.389 [10284] LOG_TRACE m_s32_volume=92 cctdlg.cpp:1180
2017-12-15 13:59:49.476 [10284] LOG_TRACE m_s32_volume=93 cctdlg.cpp:1180
